micro_cluster_id	main_field_seq	main_field_id	weight	is_primary_main_field
401	1	2	1	True
402	1	3	1	True
403	1	1	0.5	True
403	2	5	0.5	False
404	1	3	0.5	True
404	2	2	0.5	False
405	1	3	1	True
406	1	4	0.5	True
406	2	3	0.5	False
407	1	3	0.5	True
407	2	2	0.5	False
408	1	2	1	True
409	1	3	1	True
410	1	2	0.3333333333333333	True
410	2	1	0.3333333333333333	False
410	3	5	0.3333333333333333	False
411	1	3	0.5	True
411	2	4	0.5	False
412	1	3	1	True
413	1	3	0.5	True
413	2	4	0.5	False
414	1	2	1	True
415	1	1	1	True
416	1	2	1	True
417	1	2	1	True
418	1	2	1	True
419	1	4	0.3333333333333333	True
419	2	2	0.3333333333333333	False
419	3	3	0.3333333333333333	False
420	1	2	1	True
421	1	4	0.5	True
421	2	1	0.5	False
422	1	2	1	True
423	1	2	0.5	True
423	2	4	0.5	False
424	1	5	0.5	True
424	2	1	0.5	False
425	1	3	1	True
426	1	2	0.5	True
426	2	1	0.5	False
427	1	5	0.3333333333333333	True
427	2	2	0.3333333333333333	False
427	3	1	0.3333333333333333	False
428	1	2	1	True
429	1	5	1	True
430	1	5	0.5	True
430	2	1	0.5	False
431	1	2	0.5	True
431	2	4	0.5	False
432	1	3	0.5	True
432	2	2	0.5	False
433	1	2	0.5	True
433	2	4	0.5	False
434	1	2	0.5	True
434	2	4	0.5	False
435	1	4	0.5	True
435	2	1	0.5	False
436	1	2	1	True
437	1	1	1	True
438	1	1	0.5	True
438	2	4	0.5	False
439	1	4	0.5	True
439	2	1	0.5	False
440	1	3	1	True
441	1	2	1	True
442	1	2	1	True
443	1	1	1	True
444	1	5	1	True
445	1	2	0.5	True
445	2	4	0.5	False
446	1	1	1	True
447	1	4	1	True
448	1	2	0.5	True
448	2	1	0.5	False
449	1	2	1	True
450	1	4	1	True
451	1	4	1	True
452	1	2	1	True
453	1	2	1	True
454	1	5	1	True
455	1	2	1	True
456	1	5	0.5	True
456	2	1	0.5	False
457	1	1	1	True
458	1	2	1	True
459	1	2	1	True
460	1	3	1	True
461	1	3	1	True
462	1	5	1	True
463	1	3	1	True
464	1	3	1	True
465	1	1	1	True
466	1	4	1	True
467	1	1	0.5	True
467	2	5	0.5	False
468	1	5	0.5	True
468	2	3	0.5	False
469	1	2	1	True
470	1	5	0.5	True
470	2	1	0.5	False
471	1	1	0.5	True
471	2	4	0.5	False
472	1	3	0.5	True
472	2	5	0.5	False
473	1	4	1	True
474	1	3	1	True
475	1	1	1	True
476	1	4	0.5	True
476	2	3	0.5	False
477	1	3	1	True
478	1	3	1	True
479	1	3	1	True
480	1	3	1	True
481	1	5	1	True
482	1	5	1	True
483	1	2	1	True
484	1	3	0.5	True
484	2	4	0.5	False
485	1	1	0.5	True
485	2	2	0.5	False
486	1	2	0.5	True
486	2	4	0.5	False
487	1	4	1	True
488	1	3	0.5	True
488	2	4	0.5	False
489	1	2	1	True
490	1	3	1	True
491	1	3	1	True
492	1	2	1	True
493	1	2	1	True
494	1	2	0.5	True
494	2	4	0.5	False
495	1	3	1	True
496	1	2	1	True
497	1	2	1	True
498	1	2	1	True
499	1	2	1	True
500	1	5	1	True
501	1	3	1	True
502	1	5	0.5	True
502	2	3	0.5	False
503	1	1	1	True
504	1	5	1	True
505	1	2	1	True
506	1	2	0.5	True
506	2	4	0.5	False
507	1	3	0.5	True
507	2	4	0.5	False
508	1	2	0.5	True
508	2	1	0.5	False
509	1	1	0.5	True
509	2	2	0.5	False
510	1	2	1	True
511	1	3	0.5	True
511	2	5	0.5	False
512	1	2	0.5	True
512	2	3	0.5	False
513	1	3	1	True
514	1	5	0.5	True
514	2	3	0.5	False
515	1	2	1	True
516	1	2	1	True
517	1	1	1	True
518	1	2	1	True
519	1	2	0.5	True
519	2	3	0.5	False
520	1	4	0.5	True
520	2	2	0.5	False
521	1	2	1	True
522	1	2	0.5	True
522	2	5	0.5	False
523	1	3	1	True
524	1	5	0.5	True
524	2	3	0.5	False
525	1	5	0.5	True
525	2	1	0.5	False
526	1	2	0.5	True
526	2	3	0.5	False
527	1	3	1	True
528	1	2	1	True
529	1	2	1	True
530	1	3	1	True
531	1	5	1	True
532	1	3	1	True
533	1	5	0.5	True
533	2	1	0.5	False
534	1	3	0.5	True
534	2	5	0.5	False
535	1	4	0.5	True
535	2	3	0.5	False
536	1	2	1	True
537	1	2	0.5	True
537	2	1	0.5	False
538	1	5	1	True
539	1	1	1	True
540	1	3	0.5	True
540	2	2	0.5	False
541	1	5	1	True
542	1	2	1	True
543	1	2	1	True
544	1	3	1	True
545	1	5	1	True
546	1	1	1	True
547	1	1	1	True
548	1	3	1	True
549	1	2	1	True
550	1	2	1	True
551	1	5	1	True
552	1	2	1	True
553	1	3	1	True
554	1	2	1	True
555	1	4	1	True
556	1	2	1	True
557	1	1	1	True
558	1	3	0.5	True
558	2	5	0.5	False
559	1	3	1	True
560	1	2	1	True
561	1	1	1	True
562	1	2	1	True
563	1	2	1	True
564	1	4	0.5	True
564	2	3	0.5	False
565	1	1	0.5	True
565	2	2	0.5	False
566	1	3	1	True
567	1	5	1	True
568	1	3	1	True
569	1	2	1	True
570	1	2	1	True
571	1	5	1	True
572	1	4	0.3333333333333333	True
572	2	5	0.3333333333333333	False
572	3	3	0.3333333333333333	False
573	1	5	1	True
574	1	1	1	True
575	1	5	1	True
576	1	2	1	True
577	1	4	0.5	True
577	2	3	0.5	False
578	1	3	1	True
579	1	5	1	True
580	1	2	1	True
581	1	2	0.5	True
581	2	5	0.5	False
582	1	2	0.5	True
582	2	1	0.5	False
583	1	2	1	True
584	1	2	0.5	True
584	2	4	0.5	False
585	1	1	1	True
586	1	5	1	True
587	1	2	1	True
588	1	5	1	True
589	1	1	1	True
590	1	3	1	True
591	1	3	0.5	True
591	2	5	0.5	False
592	1	3	1	True
593	1	2	1	True
594	1	4	0.5	True
594	2	2	0.5	False
595	1	1	1	True
596	1	2	0.5	True
596	2	1	0.5	False
597	1	3	1	True
598	1	2	1	True
599	1	2	1	True
600	1	2	0.5	True
600	2	1	0.5	False
601	1	5	1	True
602	1	2	1	True
603	1	5	0.5	True
603	2	1	0.5	False
604	1	2	1	True
605	1	1	1	True
606	1	2	1	True
607	1	3	1	True
608	1	2	1	True
609	1	1	1	True
610	1	3	1	True
611	1	3	1	True
612	1	3	1	True
613	1	2	1	True
614	1	2	1	True
615	1	3	1	True
616	1	5	0.5	True
616	2	4	0.5	False
617	1	2	1	True
618	1	2	1	True
619	1	2	1	True
620	1	2	1	True
621	1	5	0.5	True
621	2	2	0.5	False
622	1	3	0.5	True
622	2	5	0.5	False
623	1	3	1	True
624	1	3	1	True
625	1	2	1	True
626	1	3	1	True
627	1	5	1	True
628	1	1	1	True
629	1	1	0.5	True
629	2	2	0.5	False
630	1	2	1	True
631	1	2	1	True
632	1	1	1	True
633	1	3	1	True
634	1	2	1	True
635	1	3	1	True
636	1	1	0.5	True
636	2	5	0.5	False
637	1	5	1	True
638	1	3	0.5	True
638	2	5	0.5	False
639	1	5	1	True
640	1	5	0.3333333333333333	True
640	2	3	0.3333333333333333	False
640	3	4	0.3333333333333333	False
641	1	2	1	True
642	1	3	1	True
643	1	4	1	True
644	1	4	1	True
645	1	2	1	True
646	1	1	1	True
647	1	4	0.5	True
647	2	3	0.5	False
648	1	5	0.5	True
648	2	1	0.5	False
649	1	2	1	True
650	1	3	0.5	True
650	2	4	0.5	False
