meso_cluster_id	meso_cluster_no	parent_macro_cluster_id	n_works
735	13.025	13	22253
736	10.038	10	26901
737	17.010	17	23076
738	16.015	16	24065
739	07.046	7	25537
740	08.048	8	25490
741	06.051	6	24440
742	14.021	14	22961
743	10.039	10	24607
744	17.011	17	24985
745	08.049	8	25724
746	04.056	4	23623
747	11.026	11	23516
748	06.052	6	23785
749	02.071	2	22147
750	01.117	1	20620
751	04.057	4	23758
752	05.056	5	22758
753	05.057	5	23309
754	07.047	7	26961
755	01.118	1	20088
756	08.050	8	26021
757	03.070	3	23459
758	10.040	10	24992
759	14.022	14	21650
760	16.016	16	23257
761	04.058	4	22048
762	01.119	1	20698
763	06.053	6	21548
764	02.072	2	19562
765	08.051	8	22871
766	08.052	8	24126
767	11.027	11	21910
768	17.012	17	21272
769	08.053	8	24990
770	19.011	19	23997
771	04.059	4	21360
772	08.054	8	22742
773	08.055	8	23846
774	01.120	1	19216
775	01.121	1	19709
776	08.056	8	22218
777	16.017	16	21595
778	01.122	1	19019
779	11.028	11	22361
780	04.060	4	20345
781	08.057	8	20126
782	06.054	6	22322
783	03.071	3	19016
784	02.073	2	19385
785	06.055	6	22903
786	16.018	16	20076
787	19.012	19	22260
788	05.058	5	20451
789	12.024	12	19636
790	02.074	2	17374
791	01.123	1	19045
792	08.058	8	22558
793	08.059	8	21415
794	04.061	4	20557
795	04.062	4	20638
796	13.026	13	16600
797	05.059	5	20288
798	08.060	8	23274
799	03.072	3	17989
800	14.023	14	18140
801	14.024	14	18346
802	06.056	6	19745
803	19.013	19	21081
804	04.063	4	21528
805	15.024	15	18706
806	08.061	8	20873
807	08.062	8	21042
808	11.029	11	18461
809	06.057	6	20315
810	03.073	3	19302
811	06.058	6	20710
812	03.074	3	14845
813	02.075	2	17740
814	04.064	4	17890
815	08.063	8	20226
816	11.030	11	17523
817	19.014	19	18485
818	12.025	12	17149
819	01.124	1	16685
820	01.125	1	16153
821	04.065	4	17817
822	08.064	8	19645
823	06.059	6	19333
824	08.065	8	19128
825	08.066	8	18147
826	01.126	1	16641
827	19.015	19	18308
828	09.026	9	15705
829	06.060	6	17597
830	08.067	8	18975
831	13.027	13	15131
832	10.041	10	17309
833	08.068	8	17589
834	06.061	6	19788
835	08.069	8	20520
836	10.042	10	17438
837	02.076	2	15291
838	08.070	8	17209
839	09.027	9	15794
840	06.062	6	15926
841	08.071	8	18933
842	19.016	19	15828
843	06.063	6	16802
844	08.072	8	16894
845	04.066	4	15094
846	12.026	12	14799
847	01.127	1	14297
848	06.064	6	16214
849	03.075	3	14955
850	02.077	2	14461
851	06.065	6	16531
852	06.066	6	16693
853	13.028	13	14209
854	19.017	19	15731
855	18.011	18	14438
856	08.073	8	15922
857	11.031	11	15318
858	05.060	5	14442
859	03.076	3	14400
860	10.043	10	26291
861	14.025	14	13639
862	07.048	7	14150
863	03.077	3	13167
864	10.044	10	27146
865	08.074	8	15185
866	16.019	16	14870
867	01.128	1	12739
868	08.075	8	14665
869	09.028	9	14124
870	01.129	1	11907
871	04.067	4	14012
872	06.067	6	14213
873	01.130	1	12516
874	01.131	1	12118
875	01.132	1	11751
876	18.012	18	13388
877	06.068	6	13649
878	18.013	18	12817
879	08.076	8	15333
880	11.032	11	12947
881	04.068	4	13449
882	13.029	13	11603
883	01.133	1	12226
884	06.069	6	12726
885	08.077	8	13353
886	14.026	14	11632
887	15.025	15	12814
888	06.070	6	13454
889	03.078	3	10657
890	08.078	8	13441
891	02.078	2	11902
892	16.020	16	15564
893	06.071	6	14067
894	06.072	6	13484
895	10.045	10	19110
896	03.079	3	12022
897	08.079	8	13322
898	04.069	4	12878
899	11.033	11	12710
900	04.070	4	12274
901	19.018	19	23762
902	14.027	14	11667
903	04.071	4	12372
904	05.061	5	12262
905	15.026	15	11811
906	06.073	6	12561
907	10.046	10	12019
908	04.072	4	12375
909	19.019	19	12070
910	08.080	8	12661
911	19.020	19	12224
912	06.074	6	11013
913	17.013	17	11427
914	10.047	10	11253
915	10.048	10	10400
916	07.049	7	12782
917	19.021	19	12695
