meso_cluster_id	source_seq	source_id	n_works
72	10	134177497	1457
73	1	42323631	4860
73	2	134307298	4558
73	3	95739953	4086
73	4	2481244646	3560
73	5	149937609	3079
73	6	67716761	2814
73	7	102276873	2399
73	8	2764437742	2393
73	9	204609040	2328
73	10	48860480	2303
74	1	6791298	14043
74	2	119074828	12206
74	3	139340696	11454
74	4	4210237713	8220
74	5	93909106	5951
74	6	24807848	5817
74	7	119212824	4979
74	8	4210174675	4861
74	9	4306400194	4725
74	10	34296711	4705
75	1	4306525036	5218
75	2	109998069	4007
75	3	115510430	3702
75	4	70513841	3169
75	5	4306463937	2986
75	6	186215666	2443
75	7	131590804	2265
75	8	82881359	2136
75	9	60503757	1978
75	10	134936136	1694
76	1	165454098	8262
76	2	154695693	4800
76	3	4306463075	3628
76	4	93312259	3574
76	5	2898442875	3176
76	6	29980478	3054
76	7	4210178770	2771
76	8	205118121	2707
76	9	67425620	2437
76	10	128754310	2365
77	1	4306525036	7210
77	2	60865174	5295
77	3	185186944	4033
77	4	41314575	3007
77	5	4306463937	2974
77	6	116251202	2957
77	7	181568219	2442
77	8	13342628	2351
77	9	40505786	2315
77	10	46995015	2114
78	1	146976949	5473
78	2	171471881	3012
78	3	92562763	2371
78	4	31777576	2308
78	5	4306463937	2263
78	6	161676133	2008
78	7	28057480	1901
78	8	26596028	1854
78	9	202381698	1754
78	10	87930725	1600
79	1	6791298	9268
79	2	105243760	7762
79	3	183492911	6637
79	4	187991544	5087
79	5	24807848	4191
79	6	23074404	3856
79	7	10719676	3778
79	8	4210174675	3539
79	9	4306463937	3438
79	10	4210237713	3177
80	1	4306401271	19790
80	2	4210172589	18942
80	3	4306463937	3186
80	4	4306463855	2094
80	5	4306463716	1335
80	6	4306463223	1287
80	7	45372229	1273
80	8	4306401280	1270
80	9	4306462995	1004
80	10	198098467	915
81	1	4306400194	7900
81	2	106296714	6203
81	3	4306463937	2368
81	4	183492911	1928
81	5	101949793	1802
